Order_ID,Date,Customer_ID,Customer_Age,Gender,Location,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Applied,Payment_Method,Customer_Rating
VV-1006,08-01-2025,CUST-142,20,Female,South,Apparel,Winter Puffer Jacket,3,119.99,0.1,UPI,5
VV-1163,08-01-2025,CUST-137,65,Male,South,Electronics,Wireless Headphones,3,79.99,0.3,Credit Card,4
VV-1151,10-01-2025,CUST-130,54,Female,West,Electronics,Noise Cancelling Earbuds,1,99.99,0.1,Crypto,5
VV-1062,22-01-2025,CUST-136,52,Male,North,Electronics,Noise Cancelling Earbuds,3,99.99,0.2,Credit Card,3
VV-1130,27-01-2025,CUST-155,25,Female,South,Apparel,Running Joggers,5,39.99,0.3,UPI,3
VV-1039,28-01-2025,CUST-139,54,Male,North,Electronics,Portable SSD,4,109.99,0.3,PayPal,3
VV-1021,01-02-2025,CUST-119,47,Female,East,Electronics,Mechanical Keyboard,1,89.99,0,PayPal,5
VV-1194,01-02-2025,CUST-128,39,Female,West,Electronics,Mechanical Keyboard,1,89.99,0.1,PayPal,3
VV-1162,02-02-2025,CUST-129,60,Male,West,Home & Living,Smart Coffee Mug,2,34.99,0,Credit Card,4
VV-1080,04-02-2025,CUST-142,33,Female,North,Apparel,Knit Sweater,5,54.99,0.2,PayPal,5
VV-1147,12-02-2025,CUST-116,46,Female,West,Electronics,USB-C Hub,3,39.99,0.2,UPI,2
VV-1177,16-02-2025,CUST-137,45,Female,South,Home & Living,LED Desk Lamp,3,42.99,0.25,UPI,4
VV-1108,17-02-2025,CUST-110,52,Female,West,Electronics,Gaming Mouse,2,49.99,0.1,UPI,5
VV-1107,21-02-2025,CUST-110,60,Male,South,Electronics,Smartwatch,2,129.99,0,UPI,5
VV-1084,22-02-2025,CUST-127,19,Male,South,Electronics,Gaming Mouse,1,49.99,0,UPI,5
VV-1123,22-02-2025,CUST-105,58,Male,East,Home & Living,Ergonomic Cushion,2,29.99,0,UPI,4
VV-1031,24-02-2025,CUST-112,37,Female,East,Electronics,USB-C Hub,2,39.99,0,PayPal,3
VV-1035,25-02-2025,CUST-143,45,Male,West,Apparel,Cargo Pants,3,49.99,0,Credit Card,2
VV-1173,27-02-2025,CUST-141,60,Male,North,Electronics,Mechanical Keyboard,1,89.99,0,Credit Card,4
VV-1193,27-02-2025,CUST-105,64,Male,South,Electronics,Mechanical Keyboard,1,89.99,0,Credit Card,4
VV-1053,28-02-2025,CUST-132,18,Female,East,Apparel,Graphic T-Shirt,3,24.99,0,PayPal,4
VV-1068,28-02-2025,CUST-131,46,Male,West,Electronics,Smartwatch,3,129.99,0.2,PayPal,4
VV-1094,06-03-2025,CUST-149,57,Male,North,Electronics,Portable SSD,1,109.99,0.1,Credit Card,3
VV-1165,21-03-2025,CUST-149,61,Male,East,Apparel,Knit Sweater,1,54.99,0,PayPal,5
VV-1182,24-03-2025,CUST-106,42,Male,North,Electronics,USB-C Hub,2,39.99,0.2,PayPal,3
VV-1098,26-03-2025,CUST-134,57,Male,West,Electronics,Portable SSD,2,109.99,0,PayPal,4
VV-1100,04-04-2025,CUST-149,27,Male,North,Electronics,Bluetooth Speaker,4,59.99,0.2,Credit Card,5
VV-1017,06-04-2025,CUST-119,44,Female,North,Apparel,Oversized Hoodie,1,44.99,0,Credit Card,5
VV-1043,07-04-2025,CUST-139,19,Female,South,Apparel,Denim Jacket,2,69.99,0,Crypto,4
VV-1028,08-04-2025,CUST-126,19,Female,South,Apparel,Denim Jacket,2,69.99,0,PayPal,5
VV-1030,09-04-2025,CUST-122,20,Female,North,Home & Living,Air Purifier,2,149.99,0,UPI,4
VV-1115,10-04-2025,CUST-137,25,Male,South,Electronics,Noise Cancelling Earbuds,4,99.99,0.25,UPI,3
VV-1184,19-04-2025,CUST-118,51,Male,South,Electronics,USB-C Hub,1,39.99,0,Credit Card,3
VV-1148,21-04-2025,CUST-160,32,Male,South,Apparel,Denim Jacket,4,69.99,0,UPI,4
VV-1111,26-04-2025,CUST-149,56,Male,South,Electronics,Gaming Mouse,3,49.99,0,Credit Card,5
VV-1195,26-04-2025,CUST-146,43,Female,North,Apparel,Knit Sweater,1,54.99,0.1,Credit Card,4
VV-1011,08-05-2025,CUST-136,21,Male,East,Apparel,Cargo Pants,4,49.99,0.3,Credit Card,4
VV-1096,10-05-2025,CUST-154,38,Male,East,Apparel,Graphic T-Shirt,4,24.99,0.2,PayPal,3
VV-1069,11-05-2025,CUST-140,57,Female,East,Home & Living,Insulated Water Bottle,3,27.99,0.1,UPI,3
VV-1009,25-05-2025,CUST-159,59,Male,South,Electronics,Wireless Headphones,3,79.99,0.25,UPI,3
VV-1029,01-06-2025,CUST-133,25,Female,South,Apparel,Casual Sneakers,1,74.99,0.1,UPI,4
VV-1048,01-06-2025,CUST-118,49,Female,North,Electronics,USB-C Hub,4,39.99,0.25,Credit Card,3
VV-1078,03-06-2025,CUST-107,43,Male,East,Apparel,Casual Sneakers,5,74.99,0.25,PayPal,2
VV-1140,06-06-2025,CUST-137,43,Non-binary,West,Electronics,Gaming Mouse,1,49.99,0.1,PayPal,4
VV-1152,06-06-2025,CUST-112,64,Male,South,Electronics,Gaming Mouse,2,49.99,0.1,PayPal,4
VV-1113,08-06-2025,CUST-109,19,Male,North,Electronics,Gaming Mouse,1,49.99,0,Credit Card,5
VV-1164,08-06-2025,CUST-157,37,Female,West,Apparel,Knit Sweater,4,54.99,0,Credit Card,3
VV-1154,10-06-2025,CUST-126,55,Female,North,Electronics,Mechanical Keyboard,1,89.99,0,Credit Card,4
VV-1187,10-06-2025,CUST-113,65,Female,East,Electronics,Mechanical Keyboard,2,89.99,0,Credit Card,3
VV-1141,11-06-2025,CUST-115,61,Male,South,Electronics,Wireless Headphones,2,79.99,0,Credit Card,5
VV-1061,14-06-2025,CUST-133,62,Female,East,Electronics,Wireless Headphones,1,79.99,0,Credit Card,5
VV-1186,15-06-2025,CUST-131,39,Male,West,Apparel,Graphic T-Shirt,2,24.99,0.1,Credit Card,4
VV-1197,20-06-2025,CUST-106,42,Female,East,Electronics,Noise Cancelling Earbuds,4,99.99,0.25,PayPal,3
VV-1091,28-06-2025,CUST-102,53,Male,West,Electronics,Portable SSD,5,109.99,0.3,PayPal,2
VV-1042,09-07-2025,CUST-103,23,Male,West,Apparel,Winter Puffer Jacket,4,119.99,0,UPI,4
VV-1055,15-07-2025,CUST-143,46,Male,East,Apparel,Oversized Hoodie,5,44.99,0.2,PayPal,4
VV-1088,15-07-2025,CUST-110,32,Male,West,Electronics,Bluetooth Speaker,1,59.99,0,Credit Card,2
VV-1189,22-07-2025,CUST-126,49,Male,South,Electronics,Smartwatch,2,129.99,0.2,UPI,4
VV-1059,24-07-2025,CUST-131,38,Female,North,Electronics,Wireless Headphones,3,79.99,0.2,Crypto,5
VV-1027,26-07-2025,CUST-123,60,Female,West,Electronics,Bluetooth Speaker,1,59.99,0,Credit Card,4
VV-1175,26-07-2025,CUST-126,29,Male,North,Electronics,Mechanical Keyboard,1,89.99,0,PayPal,4
VV-1153,27-07-2025,CUST-129,45,Female,North,Apparel,Graphic T-Shirt,3,24.99,0.1,Crypto,5
VV-1090,28-07-2025,CUST-115,64,Male,South,Electronics,Bluetooth Speaker,2,59.99,0,Credit Card,4
VV-1150,29-07-2025,CUST-119,29,Female,North,Home & Living,Aroma Diffuser,5,36.99,0.2,Credit Card,3
VV-1119,02-08-2025,CUST-149,36,Male,West,Home & Living,Weighted Blanket,4,89.99,0.1,UPI,3
VV-1004,03-08-2025,CUST-154,20,Female,West,Home & Living,Air Purifier,1,149.99,0,Credit Card,3
VV-1089,03-08-2025,CUST-108,23,Female,North,Apparel,Winter Puffer Jacket,2,119.99,0.1,Credit Card,4
VV-1178,03-08-2025,CUST-114,61,Female,West,Electronics,Wireless Headphones,2,79.99,0.25,Credit Card,2
VV-1185,03-08-2025,CUST-125,41,Male,South,Apparel,Running Joggers,1,39.99,0,PayPal,3
VV-1095,04-08-2025,CUST-114,36,Female,East,Apparel,Casual Sneakers,2,74.99,0,Credit Card,5
VV-1170,04-08-2025,CUST-148,64,Male,West,Apparel,Winter Puffer Jacket,3,119.99,0,Credit Card,3
VV-1139,05-08-2025,CUST-133,30,Female,South,Electronics,Wireless Headphones,1,79.99,0,Credit Card,3
VV-1172,06-08-2025,CUST-104,64,Female,North,Home & Living,Aroma Diffuser,5,36.99,0.25,Credit Card,5
VV-1005,07-08-2025,CUST-145,60,Male,West,Electronics,Smartwatch,1,129.99,0,Credit Card,3
